,TStatistic,PValue,PValCorr,RejectionCorr,F_C
FBXO2,-0.13730684195174164,0.891375185012946,1.0,False,1.0145111951592596
FBXO44,-0.09962963014383713,0.9210654588453132,1.0,False,1.0095937408137314
FBXO6,-2.291911707915496,0.026435771199226358,1.0,False,1.2213937751222919
MAD2L2,-0.8723110366131488,0.3876256348246798,1.0,False,1.0580770121014773
AGTRAP,-2.9790065959540715,0.004666190921966413,1.0,False,1.2406417609193479
MTHFR,-0.6342926113145534,0.5289680472883239,1.0,False,1.0412678930227026
CLCN6,1.5092167003427817,0.13797632667264073,1.0,False,1.1073025748386665
NPPA,0.9656372510284417,0.3438094090666881,1.0,False,1.5014193758718897
KIAA2013,0.8798352093423093,0.3834663592698754,1.0,False,1.0629435662090432
PLOD1,0.24958919454432682,0.8039986909604643,1.0,False,1.0164563907904325
MFN2,0.6949765085813321,0.49294234609336174,1.0,False,1.0893727835037186
MIIP,-1.2526664351434371,0.21719665602082178,1.0,False,1.0589953933411735
TNFRSF8,1.7738848392217303,0.08313179153017583,1.0,False,1.1937550475985457
TNFRSF1B,3.188446702094749,0.002644179367081855,1.0,False,1.273874575551135
VPS13D,-0.0203701649601858,0.9838375028107622,1.0,False,1.0011810510170056
DHRS3,1.222503413662657,0.22811199166233112,1.0,False,1.1162291894848684
LRRC38,0.23202000908637427,0.8175362575173019,1.0,False,1.0477862305932986
PDPN,1.6914266178082376,0.09822345566797541,1.0,False,1.1440241353408398
PRDM2,0.9073287394840627,0.37059324430661933,1.0,False,1.054173065778426
KAZN,0.2858841941722257,0.7762238248526818,1.0,False,1.0199917125093847
C1orf126,-0.06858505065679696,0.94566086345997,1.0,False,1.0095334875496111
TMEM51,-0.7081850626212991,0.48267599149714246,1.0,False,1.0651040905888476
FHAD1,-0.2224393642427207,0.8249400165247998,1.0,False,1.032735939630906
EFHD2,-1.0267885850956393,0.3099096424499075,1.0,False,1.0571072928568943
CTRC,-1.522314713321505,0.13510895733019088,1.0,False,1.1837679437918502
CASP9,-1.1143802100972564,0.27078966707223007,1.0,False,1.097343105026119
DNAJC16,-0.9311000026289966,0.35678161475924064,1.0,False,1.094194689457406
AGMAT,-0.749302867811756,0.45742714738146206,1.0,False,1.076433144043198
PLEKHM2,-0.49223416004461334,0.6248455365342658,1.0,False,1.0293024222726663
SLC25A34,-0.9821512621218396,0.331058426230051,1.0,False,1.0772186908165284
FBLIM1,-1.2309347968717688,0.22477936434655077,1.0,False,1.0573684402612842
UQCRHL,1.2913407823451784,0.20410370308763975,1.0,False,1.1307210927010827
FLJ37453,0.026096167395210722,0.9792920837048456,1.0,False,1.002244195655291
SPEN,2.3960630864486028,0.021297053088371303,1.0,False,1.1824600952589017
ZBTB17,-1.2419972295353983,0.22092347345093413,1.0,False,1.081393962245076
C1orf64,-0.38735292894509277,0.7008190086080601,1.0,False,1.0824032332203084
HSPB7,0.7209710833644846,0.47490177919982357,1.0,False,1.1382551909652912
CLCNKA,0.7295414527190698,0.46929140529750013,1.0,False,1.1093893109631543
EPHA2,2.9407957044881625,0.005227959365499549,1.0,False,1.2633796223365226
ARHGEF19,0.3380628517155005,0.73682762042852,1.0,False,1.0298203597118536
RSG1,0.7553348700810847,0.45415393166110285,1.0,False,1.0612921642778759
FBXO42,0.9316677216260404,0.3576149809283137,1.0,False,1.0582637508793702
C1orf144,-0.7568437659069902,0.4530008060694497,1.0,False,1.0506984653315241
NECAP2,0.5386315096394049,0.5927341811894217,1.0,False,1.0419597170420776
CROCCP3,-0.9689000594764108,0.33755600436259026,1.0,False,1.121794498791973
CROCCP2,-0.557241332763269,0.5800084367593896,1.0,False,1.0772477184544347
MST1P2,0.27883210982060336,0.7816573290198825,1.0,False,1.0319470306420837
CROCC,0.19351126074948738,0.8474018747049916,1.0,False,1.015177319463686
MFAP2,-0.14552346144443706,0.8849233449611639,1.0,False,1.0188409645643555
ATP13A2,-1.6697726613803736,0.10169468921001369,1.0,False,1.1346188984991696
SDHB,-0.31799912219040327,0.7519329820000011,1.0,False,1.0192408753475641
PADI2,3.5533327693325036,0.001106039198101815,1.0,False,1.4916020970911859
PADI3,-1.9231987280465819,0.06435742754241447,1.0,False,1.5681063966021305
PADI4,0.6543630657204291,0.5162852089227792,1.0,False,1.1190743683762265
RCC2,0.6044514217126519,0.5490368968944068,1.0,False,1.0395928753104304
ARHGEF10L,0.6621837199096025,0.511339580350666,1.0,False,1.0545349737504537
ACTL8,-0.9484728554161358,0.34796260941777546,1.0,False,1.1685701102067172
IGSF21,-1.601550851426674,0.11642370093270074,1.0,False,1.2420025969987674
KLHDC7A,-4.692716101522522,2.5425145092513943e-05,0.36557901668463166,False,1.9214708451107494
PAX7,-1.0963285660319326,0.28132605736321453,1.0,False,1.2239404226001747
ALDH4A1,-4.198213881549983,0.00012902140411050946,0.5199709224979251,False,1.3636755741815212
IFFO2,0.7255529168504402,0.4717845889725123,1.0,False,1.0767828913789774
UBR4,0.3587687285632542,0.7214737265377053,1.0,False,1.0218695444870012
KIAA0090,-0.25702602407017866,0.7984289874206877,1.0,False,1.0193513957850517
MRTO4,1.5319838369793362,0.13293872657791436,1.0,False,1.1393639519504204
AKR7L,-0.24349811231052854,0.8087399911676598,1.0,False,1.0351330605093614
AKR7A3,-3.544821689060004,0.0009144952166724248,1.0,False,1.6495897149082235
LOC100506730,-1.1644638084915364,0.2501469802463525,1.0,False,1.1348607350296316
AKR7A2,-0.4509432746217867,0.6541129130697451,1.0,False,1.0612371927476745
PQLC2,-2.3619996410781154,0.022395766079743838,1.0,False,1.1871711736587574
CAPZB,0.4116183204904682,0.6825022861140387,1.0,False,1.0314561587573667
C1orf151,-0.6102426038036362,0.5449846723106855,1.0,False,1.0565776810269754
NBL1,-0.43466012461458103,0.6657993976404841,1.0,False,1.042693630054145
TMCO4,0.9402398424704562,0.3524025815439106,1.0,False,1.0521823732028244
RNF186,2.018702333266469,0.0495394449871875,1.0,False,1.4088325797767216
OTUD3,0.1602289021450614,0.8734056899313573,1.0,False,1.0139448343092374
PLA2G2A,-0.8403104818345237,0.40500732099445547,1.0,False,1.1714037167167235
PLA2G5,2.792684665428298,0.008056741468461817,1.0,False,1.3834085966882526
PLA2G2D,0.620547158900512,0.538042103623392,1.0,False,1.118322415818206
UBXN10,-1.015844652679794,0.31490640901040673,1.0,False,1.1491542343029948
CAMK2N1,-1.9215650951929015,0.06074318686158105,1.0,False,1.2764728664224736
MUL1,0.13962683389603311,0.8895558865417305,1.0,False,1.0090253978248138
FAM43B,-2.160852202346336,0.036416420842049955,1.0,False,1.2948019470561722
CDA,0.21590786199205472,0.8300011533587462,1.0,False,1.0276345720625746
PINK1,-0.8164851909940841,0.41847022264029554,1.0,False,1.0360815704347868
DDOST,1.297193389939934,0.2009625414162583,1.0,False,1.0961252671520976
KIF17,0.2757797516691151,0.7839863046692681,1.0,False,1.0195522120054124
HP1BP3,-0.2857583607910017,0.776326119555754,1.0,False,1.0250418531658867
EIF4G3,-0.9955266807234503,0.32463546745777405,1.0,False,1.0500922252013911
ECE1,-2.1423408563632163,0.03774582688905256,1.0,False,1.1944259228330352
LOC100506801,-0.050576743441353614,0.9598827367261553,1.0,False,1.0060764702099878
ALPL,2.1967838416366954,0.03382904355964933,1.0,False,1.2274910549070535
RAP1GAP,-1.531321541715178,0.13246762410033674,1.0,False,1.113627654029239
USP48,0.42382622070097475,0.6736614243035957,1.0,False,1.0245422894820049
LDLRAD2,0.3142233926286746,0.7550778670011441,1.0,False,1.0392532040401468
HSPG2,-0.8265940096640418,0.4126663806250962,1.0,False,1.0595829580297924
NCRNA00339,0.2791902425236563,0.7813490103197958,1.0,False,1.035192354791779
CDC42,-1.1380033216326588,0.2609417858545009,1.0,False,1.117018646430802
WNT4,-1.855650820201442,0.07094352756466606,1.0,False,1.3706588792791106
ZBTB40,-1.9254585645999858,0.060349717997045006,1.0,False,1.070655724162465
EPHA8,-2.8376357258700375,0.0076201630814359675,1.0,False,1.871955657986121
C1QA,1.188331759681855,0.24176148458285857,1.0,False,1.1180549910033837
C1QC,1.2114597560824258,0.23263720765760848,1.0,False,1.172678922947456
C1QB,0.4679390293762302,0.6421511155161007,1.0,False,1.0565740950169253
EPHB2,-0.2612869357061952,0.7950394615838718,1.0,False,1.0287218639384392
LOC729059,2.45973265312137,0.017883651749433137,1.0,False,1.3499559250220277
KDM1A,0.5004780313038701,0.619105866890068,1.0,False,1.0366249369398428
LUZP1,0.4582761017458408,0.6490414447228543,1.0,False,1.0319836185164675
HNRNPR,-0.14931761545246766,0.8819548129573908,1.0,False,1.0135306448606218
ZNF436,-0.9059743472075795,0.36958287791818634,1.0,False,1.0990090083917574
C1orf213,0.8719745957890326,0.38797722729009354,1.0,False,1.0817319472239701
TCEA3,0.5645721280368404,0.5752209768351735,1.0,False,1.047853322093357
ASAP3,1.3041322599304763,0.19857336637134973,1.0,False,1.092174726371719
E2F2,0.055050484767339224,0.9563330376428542,1.0,False,1.0069900040406736
ID3,1.667450354581543,0.10243343223951115,1.0,False,1.1567990368651548
MDS2,-0.6107185161153408,0.5446706648583546,1.0,False,1.1038335073333683
RPL11,1.484991066334273,0.14446673633751778,1.0,False,1.1598461298248801
TCEB3,-0.3652877770528794,0.7169218744983834,1.0,False,1.0147059036277088
LOC100506963,1.9980357997179203,0.05154724348310583,1.0,False,1.192375124711548
PITHD1,2.9633373215282233,0.004791284057004252,1.0,False,1.1425589180939584
LYPLA2,-0.28761717703856404,0.7749084494046881,1.0,False,1.0392605121532277
GALE,-0.508622109905148,0.6134289254527328,1.0,False,1.0464291691282277
HMGCL,-0.4479801456857646,0.6562259032392994,1.0,False,1.0349171624266627
FUCA1,-0.8401810683124096,0.40540772995360597,1.0,False,1.091947271903521
PNRC2,-0.7672352362200351,0.44680571302505323,1.0,False,1.0940682593407647
SRSF10,-0.0961740604490552,0.9237914605770652,1.0,False,1.0126214378287643
